Sierpc,17788
Kostrzyn nad Odrą,17704
Łańcut,17675
Międzyrzecz,17667
Radlin,17665
Strzelce Opolskie,17657
Garwolin,17548
Zielonka,17486
Hrubieszów,17232
Rawa Mazowiecka,17193
Łomianki,17080
Przasnysz,17055
Bogatynia,17037
Trzcianka,17009
Braniewo,16974
Pleszew,16953
Łask,16925
Radzionków,16903
Konstancin-Jeziorna,16889
Kozienice,16877
Libiąż,16838
Bytów,16833
Grójec,16785
Brzesko,16764
Lędziny,16731
Międzyrzec Podlaski,16667
Słubice,16623
Namysłów,16622
Sulechów,16592
Gubin,16528
Milanówek,16478
Nowogard,16448
Olecko,16364
Gryfice,16212
Rypin,15999
Ustroń,15989
Krapkowice,15962
Dęblin,15887
Strzegom,15873
Ropczyce,15864
Jelcz-Laskowice,15648
Solec Kujawski,15614
Busko-Zdrój,15611
Lidzbark Warmiński,15489
Radzyń Podlaski,15428
Łapy,15412
Świdwin,15338
Złotoryja,15273
Ustka,15199
Nisko,15193
Boguszów-Gorce,15154
Przeworsk,15105
Limanowa,15067
Choszczno,14998
Jędrzejów,14812
Ząbkowice Śląskie,14728
Grodzisk Wielkopolski,14713
Staszów,14534
Chełmża,14362
Nowy Tomyśl,14319
Lipno,14283
Kartuzy,14276
Mosina,14255
Siemiatycze,14210
Skoczów,14116
Niepołomice,14022
Ostrzeszów,13964
Głowno,13961
Kępno,13889,8
Łęczyca,13786,2
Pszów,13734,1
Lubsko,13733,2
Wschowa,13717,1
Brwinów,13710,4
Dębno,13626,2
Żnin,13623,3
Barlinek,13611,4
Gołdap,13600
Leżajsk,13585
Darłowo,13574
Słupca,13564
Nidzica,13547
Tuchola,13534
Człuchów,13479
Morąg,13459
Wąbrzeźno,13400
Głuchołazy,13388
Trzebnica,13314
Radzymin,13313
Chojnów,13236
Włodawa,12915
Wolsztyn,12859
Koluszki,12776
Kłobuck,12756
Złocieniec,12706
Rabka-Zdrój,12662
Pyrzyce,12484
Brzeg Dolny,12480
Węgrów,12452
Głubczyce,12441
Ożarów Mazowiecki,12432
Sędziszów Małopolski,12415
Golub-Dobrzyń,12412
Strzelin,12383
Brzeziny,12365
Sławno,12357
