Gostynin,18355,6
Konstantynów Łódzki,18335,8
Myślenice,18325,9
Chodzież,18229,5
Nakło nad Notecią,18026,8
Sokółka,17967,2
Pionki,17902,2
Oborniki,17848,6
Sierpc,17788,4
Kostrzyn nad Odrą,17704,6
Łańcut,17675,4
Międzyrzecz,17667,3
Radlin,17665,6
Strzelce Opolskie,17657,6
Garwolin,17548,3
Zielonka,17486,8
Hrubieszów,17232,3
Rawa Mazowiecka,17193,6
Łomianki,17080,8
Przasnysz,17055,5
Bogatynia,17037,5
Trzcianka,17009
Braniewo,16974,8
Pleszew,16953,3
Łask,16925,9
Radzionków,16903,3
Konstancin-Jeziorna,16889,9
Kozienice,16877,2
Libiąż,16838,7
Bytów,16833,4
Grójec,16785
Brzesko,16764,2
Lędziny,16731,1
Międzyrzec Podlaski,16667,2
Słubice,16623,8
Namysłów,16622,4
Sulechów,16592,3
Gubin,16528,3
Milanówek,16478,4
Nowogard,16448,4
Olecko,16364,3
Gryfice,16212,8
Rypin,15999,5
Ustroń,15989,8
Krapkowice,15962,6
Dęblin,15887,6
Strzegom,15873,3
Ropczyce,15864,2
Jelcz-Laskowice,15648,3
Solec Kujawski,15614,2
Busko-Zdrój,15611,11
Lidzbark Warmiński,15489,4
Radzyń Podlaski,15428
Łapy,15412,3
Świdwin,15338,10
Złotoryja,15273,3
Ustka,15199,12
Nisko,15193,2
Boguszów-Gorce,15154,4
Przeworsk,15105,4
Limanowa,15067,6
Choszczno,14998,1
Jędrzejów,14812,3
Ząbkowice Śląskie,14728,4
Grodzisk Wielkopolski,14713,5
Staszów,14534,3
Chełmża,14362,2
Nowy Tomyśl,14319,6
Lipno,14283
Kartuzy,14276,6
Mosina,14255,6
Siemiatycze,14210,2
Skoczów,14116,5
Niepołomice,14022,5
Ostrzeszów,13964,2
Głowno,13961,2
Kępno,13889,7
Łęczyca,13786,7
Pszów,13734,6
Lubsko,13733,3
Wschowa,13717,3
Brwinów,13710,5
Dębno,13626,1
Żnin,13623,5
Barlinek,13611,5
Gołdap,13600,2
Leżajsk,13585,2
Darłowo,13574,9
Słupca,13564,4
Nidzica,13547,3
Tuchola,13534,2
Człuchów,13479,6
Morąg,13459,3
Wąbrzeźno,13400,6
Głuchołazy,13388,3
Trzebnica,13314,4
Radzymin,13313,10
Chojnów,13236,3
Włodawa,12915,3
Wolsztyn,12859,5
Koluszki,12776,1
Kłobuck,12756,2
Złocieniec,12706,3
Rabka-Zdrój,12662,6
Pyrzyce,12484,3
Brzeg Dolny,12480,8
Węgrów,12452,1
Głubczyce,12441,4
Ożarów Mazowiecki,12432,4
Sędziszów Małopolski,12415
Golub-Dobrzyń,12412,3
Strzelin,12383,5
Brzeziny,12365,3
Sławno,12357,2
Wołów,12298,7
Błonie,12134,6
Pasłęk,12117,2
Aleksandrów Kujawski,12058,4
Góra Kalwaria,11988,4
Warka,11926,3
Dąbrowa Tarnowska,11844,1
Lubaczów,11830,3
Wasilków,11802,6
Janów Lubelski,11661,4
Mogilno,11652,4
Góra,11574
Szydłowiec,11557,5
Szprotawa,11530
Miechów,11500,2
Drawsko Pomorskie,11417,4
Zdzieszowice,11246,4
Milicz,11199,4
Krosno Odrzańskie,11155,8
Węgorzewo,11144,4
Puck,11139,4
Rogoźno,11124,2
Brzeszcze,11092,4
Koronowo,11070,3
Wronki,11064,3
Myślibórz,11049,3
Wisła,11007,9
Nowa Dęba,11006,2
Nowe Miasto Lubawskie,10709,2
Kowary,10650,3
Biskupiec,10628,1
Parczew,10555,1
Ciechocinek,10534,6
Pińczów,10524,3
Międzychód,10476,3
Czarnków,10464,3
Krynica-Zdrój,10456,8
Murowana Goślina,10410,4
Lubawa,10374,3
Syców,10340,3
Miastko,10211,7
Kolno,10143,1
Łobez,10048,4
Dobre Miasto,10010,1
Sulęcin,10005,5
